@relation CIRCLES
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.32383,0.15085,p
0.07244,0.53588,n
0.05800,0.50744,p
0.18073,0.58160,n
0.63891,0.37240,p
0.31415,0.58556,n
0.45318,0.29977,p
0.69899,0.24410,p
0.52520,0.87514,p
0.15198,0.48896,n
0.03921,0.66822,p
0.08058,0.44919,n
0.54944,0.88338,p
0.23334,0.48496,n
0.14660,0.54317,n
0.02704,0.52811,p
0.20437,0.62407,n
0.24054,0.58644,n
0.25936,0.41901,n
0.17235,0.47349,n
0.25959,0.55951,n
0.12162,0.44212,n
0.12956,0.42225,n
0.18946,0.47476,n
0.93464,0.10628,p
0.43218,0.49500,p
0.39309,0.50669,p
0.98244,0.34270,p
0.23281,0.58558,n
0.52919,0.75054,p
0.30442,0.56776,n
0.21071,0.58147,p
0.13261,0.82022,p
0.50874,0.88686,p
0.26573,0.51096,n
0.88427,0.81196,p
0.63090,0.91342,p
0.30152,0.46069,n
0.95894,0.64458,p
0.22332,0.41703,p
0.20740,0.35663,n
0.19303,0.36425,p
0.25105,0.42994,n
0.09642,0.49848,n
0.29378,0.56688,n
0.21765,0.36871,n
0.10139,0.39530,p
0.31236,0.56652,p
0.35718,0.41645,p
0.10879,0.49051,n
0.22208,0.40448,n
0.21814,0.39975,n
0.11773,0.59952,n
0.12846,0.43060,n
0.04077,0.63644,p
0.08224,0.73348,p
0.51148,0.05426,p
0.11508,0.53072,n
0.63632,0.35978,p
0.55518,0.58004,p
0.10461,0.99295,p
0.22426,0.58359,p
0.58909,0.20418,p
0.47490,0.13475,p
0.26599,0.55379,n
0.43605,0.78845,n
0.26530,0.64200,p
0.21197,0.62262,n
0.32656,0.52218,n
0.19619,0.63798,n
0.25006,0.42358,n
0.10109,0.57456,n
0.54104,0.71730,p
0.63926,0.82899,p
0.29434,0.54827,n
0.30182,0.47955,n
0.42849,0.63730,p
0.36243,0.92873,p
0.05706,0.82790,p
0.78404,0.14040,p
0.13934,0.49308,n
0.05845,0.46709,n
0.49137,0.49818,p
0.86288,0.00661,p
0.46796,0.56257,p
0.21073,0.43519,n
0.42239,0.55403,p
0.29922,0.58645,n
0.30860,0.42856,n
0.88812,0.37668,p
0.60178,0.89612,p
