@relation CIRCLES
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.25892,0.51127,n
0.19107,0.56751,n
0.23862,0.96754,n
0.10906,0.55127,n
0.70656,0.54744,p
0.54028,0.96384,p
0.58762,0.44499,p
0.22083,0.64693,p
0.35029,0.18032,n
0.03938,0.10092,p
0.83833,0.91848,p
0.16942,0.67264,p
0.05805,0.67620,n
0.34231,0.25069,p
0.25093,0.56060,n
0.15769,0.52757,n
0.48727,0.56140,n
0.27471,0.45298,n
0.29341,0.47806,n
0.34365,0.47909,n
0.19797,0.37803,n
0.54639,0.15133,p
0.32246,0.49844,n
0.29106,0.41979,p
0.08456,0.44481,n
0.14257,0.46244,n
0.25658,0.52610,n
0.33989,0.53019,n
0.10546,0.46089,n
0.32293,0.45574,n
0.07234,0.46093,n
0.72460,0.04747,p
0.07714,0.42694,n
0.18039,0.49001,p
0.12809,0.87109,p
0.20119,0.29664,p
0.44178,0.60467,p
0.24014,0.51815,p
0.67465,0.23360,p
0.28683,0.17138,p
0.55312,0.32788,p
0.25916,0.60431,n
0.70342,0.82170,p
0.21652,0.43521,n
0.26374,0.53134,n
0.23615,0.35581,n
0.20710,0.52927,n
0.34028,0.97845,p
0.20897,0.56604,p
0.96854,0.92453,n
0.07792,0.44818,n
0.74404,0.44965,p
0.80682,0.70499,p
0.16449,0.92356,n
0.13396,0.48089,n
0.08280,0.55980,n
0.07999,0.42773,n
0.35232,0.45158,p
0.51240,0.98725,p
0.19049,0.38766,n
0.17709,0.61601,p
0.11190,0.61147,n
0.28371,0.50356,n
0.93345,0.34542,p
0.76613,0.63027,p
0.22825,0.52530,n
0.81898,0.35697,p
0.34247,0.50156,n
0.33179,0.69516,p
0.25388,0.48653,n
0.77573,0.92273,p
0.82724,0.07793,p
0.92081,0.16800,p
0.84957,0.87866,p
0.60825,0.20808,p
0.18102,0.54100,n
0.15954,0.85218,p
0.22462,0.49563,p
0.07750,0.57367,n
0.22626,0.36750,n
0.75818,0.23163,n
0.74239,0.48112,p
0.29136,0.44599,n
0.10997,0.38391,n
0.38872,0.51353,p
0.97663,0.56589,p
